kuntanimi;asukasluku_2018;kuntakoko_2018;kunta_koko_lk;kuntatyyppi;kuntatyyppi_lk;väestmuutos;väestmuutos_lk;jarj_tapa_tunnus;jarj_tapa;pth_avo
Akaa;16611;10001-20000;4;Taajaan asuttu kunta;3;Väestöään menettävät;3;302;vk terv.huolto ja yksittäisiä sos.palveluja;1136
Alajärvi;9700;5001-10000;5;Taajaan asuttu kunta;3;Väestöään nopeasti menettävät;4;301;vastuukunta koko sote;1784
Alavieska;2573;2000-5000;6;Maaseutumaiset kunnat;4;Väestöään nopeasti menettävät;4;201;ky koko sote;1107
Alavus;11544;10001-20000;4;Maaseutumaiset kunnat;4;Väestöään nopeasti menettävät;4;201;ky koko sote;1676
Asikkala;8149;5001-10000;5;Taajaan asuttu kunta;3;Väestöään menettävät;3;201;ky koko sote;2329
Askola;4958;2000-5000;6;Maaseutumaiset kunnat;4;Väestöään menettävät;3;101;kunta, koko sote;1103
Aura;3984;2000-5000;6;Maaseutumaiset kunnat;4;Kasvava;2;203;ky vain terv.huolto;1311
Enonkoski;1405;Alle 2000;7;Maaseutumaiset kunnat;4;Väestöään nopeasti menettävät;4;202;ky terv.huolto ja yksittäisiä sos.palveluja;1544
Enontekiö;1852;Alle 2000;7;Maaseutumaiset kunnat;4;Väestöään menettävät;3;203;ky vain terv.huolto;1643
Espoo;283632;Yli 100000;1;Suuret kaupungit;1;Nopeasti kasvava;1;101;kunta, koko sote;915
Eura;11748;10001-20000;4;Taajaan asuttu kunta;3;Väestöään nopeasti menettävät;4;101;kunta, koko sote;1447
Eurajoki;9454;5001-10000;5;Maaseutumaiset kunnat;4;Kasvava;2;202;ky terv.huolto ja yksittäisiä sos.palveluja;1502
Evijärvi;2473;2000-5000;6;Maaseutumaiset kunnat;4;Väestöään nopeasti menettävät;4;201;ky koko sote;1258
Forssa;17028;10001-20000;4;Kaupunkimaiset kunnat;2;Väestöään menettävät;3;201;ky koko sote;1772
Haapajärvi;7147;5001-10000;5;Taajaan asuttu kunta;3;Väestöään nopeasti menettävät;4;201;ky koko sote;1930
Haapavesi;6854;5001-10000;5;Maaseutumaiset kunnat;4;Väestöään nopeasti menettävät;4;302;vk terv.huolto ja yksittäisiä sos.palveluja;1472
Hailuoto;974;Alle 2000;7;Maaseutumaiset kunnat;4;Väestöään menettävät;3;101;kunta, koko sote;1338
Halsua;1165;Alle 2000;7;Maaseutumaiset kunnat;4;Väestöään nopeasti menettävät;4;201;ky koko sote;995
Hamina;20286;20001-40000;3;Kaupunkimaiset kunnat;2;Väestöään menettävät;3;101;kunta, koko sote;1427
Hankasalmi;4939;2000-5000;6;Maaseutumaiset kunnat;4;Väestöään nopeasti menettävät;4;302;vk terv.huolto ja yksittäisiä sos.palveluja;1657
Hanko;8379;5001-10000;5;Kaupunkimaiset kunnat;2;Väestöään nopeasti menettävät;4;101;kunta, koko sote;1085
